Symbol,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,5/6/2019,51.072498,52.209999,50.875,52.119999,50.175861,129772400
AAPL,5/7/2019,51.470001,51.855,50.2075,50.715,48.823273,155054800
AAPL,5/8/2019,50.474998,51.334999,50.4375,50.724998,48.832901,105358000
AAPL,5/9/2019,50.099998,50.419998,49.165001,50.18,48.308231,139634400
AAPL,5/10/2019,49.355,49.712502,48.192501,49.294998,47.638988,164834800
AAPL,5/13/2019,46.927502,47.369999,45.712502,46.43,44.870247,229722400
AAPL,5/14/2019,46.602501,47.424999,46.352501,47.165001,45.580547,146118800
AAPL,5/15/2019,46.567501,47.9375,46.505001,47.73,46.126568,106178800
AAPL,5/16/2019,47.477501,48.1175,47.209999,47.52,45.923626,132125600
AAPL,5/17/2019,46.732498,47.724998,46.689999,47.25,45.662693,131516400
AAPL,5/20/2019,45.880001,46.087502,45.07,45.772499,44.234825,154449200
AAPL,5/21/2019,46.305,47,46.174999,46.650002,45.082851,113459200
AAPL,5/22/2019,46.165001,46.427502,45.637501,45.695,44.159931,118994400
AAPL,5/23/2019,44.950001,45.134998,44.452499,44.915001,43.406136,146118800
AAPL,5/24/2019,45.049999,45.535,44.654999,44.7425,43.239429,94858800
AAPL,5/28/2019,44.73,45.147499,44.477501,44.557499,43.060646,111792800
AAPL,5/29/2019,44.105,44.837502,44,44.345001,42.855286,113924800
AAPL,5/30/2019,44.487499,44.807499,44.1675,44.575001,43.07756,84873600
AAPL,5/31/2019,44.057499,44.497501,43.747501,43.767502,42.297184,108174400
AAPL,6/3/2019,43.900002,44.48,42.567501,43.325001,41.869549,161584400
AAPL,6/4/2019,43.860001,44.9575,43.630001,44.91,43.401306,123872000
AAPL,6/5/2019,46.07,46.247501,45.285,45.634998,44.101944,119093600
AAPL,6/6/2019,45.77,46.3675,45.537498,46.305,44.749435,90105200
AAPL,6/7/2019,46.627499,47.98,46.442501,47.537498,45.940536,122737600
AAPL,6/10/2019,47.952499,48.842499,47.904999,48.145,46.527626,104883600
AAPL,6/11/2019,48.715,49,48.400002,48.702499,47.066406,107731600
AAPL,6/12/2019,48.487499,48.9925,48.3475,48.547501,46.916611,73012800
AAPL,6/13/2019,48.674999,49.197498,48.400002,48.537498,46.906937,86698400
AAPL,6/14/2019,47.887501,48.397499,47.575001,48.185001,46.566284,75046000
AAPL,6/17/2019,48.224998,48.740002,48.0425,48.4725,46.844128,58676400
AAPL,6/18/2019,49.012501,50.072498,48.802502,49.612499,47.945831,106204000
AAPL,6/19/2019,49.919998,49.970001,49.327499,49.467499,47.805698,84496800
AAPL,6/20/2019,50.092499,50.1525,49.5075,49.865002,48.189846,86056000
AAPL,6/21/2019,49.700001,50.212502,49.537498,49.695,48.025555,191202400
AAPL,6/24/2019,49.634998,50.040001,49.5425,49.645,47.977238,72881600
AAPL,6/25/2019,49.607498,49.814999,48.822498,48.892502,47.250019,84281200
AAPL,6/26/2019,49.442501,50.247501,49.337502,49.950001,48.271984,104270000
AAPL,6/27/2019,50.072498,50.392502,49.892502,49.935001,48.257504,83598800
AAPL,6/28/2019,49.669998,49.875,49.262501,49.48,47.817787,124442400
AAPL,7/1/2019,50.7925,51.122501,50.162498,50.387501,48.694805,109012000
AAPL,7/2/2019,50.352501,50.782501,50.34,50.682499,48.979874,67740800
AAPL,7/3/2019,50.82,51.110001,50.672501,51.102501,49.385769,45448000
AAPL,7/5/2019,50.837502,51.27,50.724998,51.057499,49.342281,69062000
AAPL,7/8/2019,50.202499,50.349998,49.602501,50.005001,48.325142,101354400
AAPL,7/9/2019,49.799999,50.377499,49.702499,50.310001,48.619896,82312000
AAPL,7/10/2019,50.462502,50.932499,50.389999,50.807499,49.100677,71588400
AAPL,7/11/2019,50.827499,51.0975,50.427502,50.4375,48.743118,80767200
AAPL,7/12/2019,50.612499,51,50.549999,50.825001,49.117596,70380800
