Date,Open,High,Low,Close,Volume,feature1,feature2,feature3,feature4,feature5
4/19/2023,287.0,293.89,285.49,292.66,4278855,0.0,0.0,0.0,0.0,0.0
4/20/2023,300.0,314.6,298.1,309.61,5244073,0.0,0.0,0.0,0.0,0.0
4/26/2023,314.9,315.8,304.51,305.4,1359710,0.0,0.0,0.0,0.0,0.0
4/27/2023,306.0,308.5,303.52,306.47,748301,0.0,0.0,0.0,0.0,0.0
4/28/2023,307.0,310.49,305.11,307.33,1526632,0.0,0.0,0.0,0.0,0.0
5/2/2023,271.5,277.0,267.33,271.53,820629,0.0,0.0,0.0,0.0,0.0
5/3/2023,273.0,273.0,270.0,272.1,376823,0.0,0.0,0.0,0.0,0.0
5/4/2023,272.0,273.75,266.99,267.12,499718,0.0,0.0,0.0,0.0,0.0
5/5/2023,267.25,271.0,265.06,270.08,355874,0.0,0.0,0.0,0.0,0.0
5/8/2023,270.9,270.9,266.7,267.14,245591,0.0,0.0,0.0,0.0,0.0
5/9/2023,267.5,267.5,262.0,263.14,267716,0.0,0.0,0.0,0.0,0.0
5/10/2023,261.52,264.74,261.0,261.54,100092,0.0,0.0,0.0,0.0,0.0
5/11/2023,262.99,264.99,261.54,264.02,165501,0.0,0.0,0.0,0.0,0.0
5/12/2023,264.98,268.0,264.0,264.89,296761,0.0,0.0,0.0,0.0,0.0
5/15/2023,265.86,271.5,263.01,270.36,586473,0.0,0.0,0.0,0.0,0.0
5/16/2023,271.5,275.5,271.0,273.13,832473,0.0,0.0,0.0,0.0,0.0
5/17/2023,273.7,278.42,273.5,273.89,743418,0.0,0.0,0.0,0.0,0.0
5/18/2023,275.6,275.6,268.0,268.56,199082,0.0,0.0,0.0,0.0,0.0
5/19/2023,269.9,270.89,268.0,270.48,152754,0.0,0.0,0.0,0.0,0.0
5/22/2023,270.89,273.0,270.0,271.89,325714,0.0,0.0,0.0,0.0,0.0
5/23/2023,271.79,276.0,270.6,273.43,682835,0.0,0.0,0.0,0.0,0.0
5/24/2023,274.0,274.1,272.0,272.49,160692,0.0,0.0,0.0,0.0,0.0
5/25/2023,273.0,274.0,271.25,273.33,552665,0.0,0.0,0.0,0.0,0.0
5/26/2023,273.13,280.08,273.13,277.34,1976285,0.0,0.0,0.0,0.0,0.0
5/29/2023,279.0,286.0,277.42,280.81,658136,0.0,0.0,0.0,0.0,0.0
5/30/2023,280.01,283.65,280.01,282.17,330322,0.0,0.0,0.0,0.0,0.0
5/31/2023,282.0,284.5,281.5,282.89,527696,0.0,0.0,0.0,0.0,0.0
6/1/2023,283.98,283.98,281.0,281.21,50143,0.0,0.0,0.0,0.0,0.0
6/2/2023,283.25,283.25,274.01,274.46,580266,0.0,0.0,0.0,0.0,0.0
6/5/2023,272.52,275.0,271.25,272.88,165913,0.0,0.0,0.0,0.0,0.0
6/6/2023,272.8,279.9,272.1,277.98,481397,0.0,0.0,0.0,0.0,0.0
