Date,Open,High,Low,Close,Volume,feature1,feature2,feature3,feature4,feature5
4/19/2023,74.25,75.42,74.25,74.88,1087505,0.0,0.0,0.0,0.0,0.0
4/20/2023,74.87,76.5,74.66,75.51,1068917,0.0,0.0,0.0,0.0,0.0
4/26/2023,75.0,76.5,74.3,74.66,1410115,0.0,0.0,0.0,0.0,0.0
4/27/2023,75.3,75.3,73.51,73.99,2102744,0.0,0.0,0.0,0.0,0.0
4/28/2023,74.8,74.8,72.12,72.51,1504181,0.0,0.0,0.0,0.0,0.0
5/2/2023,73.9,77.94,73.9,77.94,6029192,0.0,0.0,0.0,0.0,0.0
5/3/2023,81.5,82.01,77.5,78.24,23530330,0.0,0.0,0.0,0.0,0.0
5/4/2023,78.25,79.01,77.25,77.81,4781142,0.0,0.0,0.0,0.0,0.0
5/5/2023,76.89,78.78,75.8,76.96,2692466,0.0,0.0,0.0,0.0,0.0
5/8/2023,77.01,77.79,76.01,76.43,2168371,0.0,0.0,0.0,0.0,0.0
5/9/2023,76.85,76.85,73.0,73.5,4802446,0.0,0.0,0.0,0.0,0.0
5/10/2023,73.5,73.99,71.36,71.84,2522826,0.0,0.0,0.0,0.0,0.0
5/11/2023,72.31,74.59,72.15,73.21,2009034,0.0,0.0,0.0,0.0,0.0
5/12/2023,73.2,73.67,72.35,72.89,1814440,0.0,0.0,0.0,0.0,0.0
5/15/2023,73.0,73.5,71.82,73.1,1434377,0.0,0.0,0.0,0.0,0.0
5/16/2023,73.9,73.9,72.5,73.69,4289687,0.0,0.0,0.0,0.0,0.0
5/17/2023,73.69,74.99,73.63,74.05,2857483,0.0,0.0,0.0,0.0,0.0
5/18/2023,74.05,74.48,72.8,73.04,990829,0.0,0.0,0.0,0.0,0.0
5/19/2023,73.4,73.4,72.7,73.09,1091821,0.0,0.0,0.0,0.0,0.0
5/22/2023,73.0,73.2,72.7,72.79,965778,0.0,0.0,0.0,0.0,0.0
5/23/2023,72.6,73.4,72.41,72.58,758419,0.0,0.0,0.0,0.0,0.0
5/24/2023,72.95,73.7,72.8,73.13,1057146,0.0,0.0,0.0,0.0,0.0
5/25/2023,73.0,73.45,72.49,72.53,1323502,0.0,0.0,0.0,0.0,0.0
5/26/2023,72.12,73.0,71.7,72.19,2197486,0.0,0.0,0.0,0.0,0.0
5/29/2023,72.9,72.9,71.6,72.18,3047216,0.0,0.0,0.0,0.0,0.0
5/30/2023,72.1,74.95,72.03,74.32,5905853,0.0,0.0,0.0,0.0,0.0
5/31/2023,73.2,75.1,72.75,73.49,2100421,0.0,0.0,0.0,0.0,0.0
6/1/2023,73.88,74.0,72.8,72.96,475369,0.0,0.0,0.0,0.0,0.0
