Date,Open,High,Low,Close,Volume,feature1,feature2,feature3,feature4,feature5
4/19/2023,114.9,115.0,114.22,114.55,105951,0.0,0.0,0.0,0.0,0.0
4/20/2023,114.5,115.5,114.4,115.39,243156,0.0,0.0,0.0,0.0,0.0
4/26/2023,115.61,116.75,114.91,115.22,515233,0.0,0.0,0.0,0.0,0.0
4/27/2023,115.5,117.7,115.05,115.47,799734,0.0,0.0,0.0,0.0,0.0
4/28/2023,116.0,116.5,114.78,115.01,478990,0.0,0.0,0.0,0.0,0.0
5/2/2023,115.5,115.55,114.3,114.56,465172,0.0,0.0,0.0,0.0,0.0
5/3/2023,114.9,116.32,114.35,115.02,688712,0.0,0.0,0.0,0.0,0.0
5/4/2023,115.01,115.66,113.5,113.99,445152,0.0,0.0,0.0,0.0,0.0
5/5/2023,114.0,115.25,113.8,113.96,380686,0.0,0.0,0.0,0.0,0.0
5/8/2023,114.01,114.6,112.55,112.73,417587,0.0,0.0,0.0,0.0,0.0
5/9/2023,113.0,113.0,110.01,110.57,616093,0.0,0.0,0.0,0.0,0.0
5/10/2023,109.76,111.25,109.0,110.05,436532,0.0,0.0,0.0,0.0,0.0
5/11/2023,110.0,111.25,110.0,110.15,189663,0.0,0.0,0.0,0.0,0.0
5/12/2023,110.99,111.35,110.25,110.86,324202,0.0,0.0,0.0,0.0,0.0
5/15/2023,110.86,112.0,110.0,111.65,422011,0.0,0.0,0.0,0.0,0.0
5/16/2023,112.0,113.25,112.0,112.29,525880,0.0,0.0,0.0,0.0,0.0
5/17/2023,112.99,112.99,111.3,111.52,462078,0.0,0.0,0.0,0.0,0.0
5/18/2023,112.4,112.4,109.7,110.01,514145,0.0,0.0,0.0,0.0,0.0
5/19/2023,110.86,110.9,109.5,110.37,115315,0.0,0.0,0.0,0.0,0.0
5/22/2023,110.86,111.0,109.5,109.72,299246,0.0,0.0,0.0,0.0,0.0
5/23/2023,110.64,110.64,107.81,108.01,507842,0.0,0.0,0.0,0.0,0.0
5/24/2023,108.84,108.84,105.8,106.0,572137,0.0,0.0,0.0,0.0,0.0
5/25/2023,106.5,106.54,104.95,105.72,674571,0.0,0.0,0.0,0.0,0.0
5/26/2023,105.2,105.89,100.02,101.42,1577724,0.0,0.0,0.0,0.0,0.0
5/29/2023,101.65,103.2,100.09,100.45,1157790,0.0,0.0,0.0,0.0,0.0
5/30/2023,101.05,101.87,100.61,101.27,621989,0.0,0.0,0.0,0.0,0.0
5/31/2023,101.0,101.99,98.8,99.16,976256,0.0,0.0,0.0,0.0,0.0
6/1/2023,99.51,100.75,99.01,99.17,334034,0.0,0.0,0.0,0.0,0.0
6/2/2023,99.98,99.98,98.95,99.03,369329,0.0,0.0,0.0,0.0,0.0
6/5/2023,99.7,106.46,99.7,106.46,2207749,0.0,0.0,0.0,0.0,0.0
6/6/2023,108.26,114.44,108.25,112.66,6852097,0.0,0.0,0.0,0.0,0.0
6/7/2023,112.8,115.25,110.7,114.54,3843557,0.0,0.0,0.0,0.0,0.0
6/8/2023,114.54,115.45,110.2,111.14,2074762,0.0,0.0,0.0,0.0,0.0
6/9/2023,112.0,114.3,111.0,113.37,2022279,0.0,0.0,0.0,0.0,0.0
6/12/2023,113.8,113.8,111.25,111.7,605642,0.0,0.0,0.0,0.0,0.0
6/13/2023,110.53,114.09,110.53,112.38,1124990,0.0,0.0,0.0,0.0,0.0
6/14/2023,113.0,113.99,110.8,111.13,943823,0.0,0.0,0.0,0.0,0.0
6/15/2023,111.5,113.0,110.8,111.2,404820,0.0,0.0,0.0,0.0,0.0
6/16/2023,111.48,111.48,108.02,108.68,757660,0.0,0.0,0.0,0.0,0.0
6/19/2023,108.5,109.5,105.0,105.37,626203,0.0,0.0,0.0,0.0,0.0
6/20/2023,105.51,107.5,103.8,106.43,1331743,0.0,0.0,0.0,0.0,0.0
6/21/2023,106.75,107.2,103.0,103.49,589780,0.0,0.0,0.0,0.0,0.0
6/22/2023,104.86,104.86,101.2,101.62,373750,0.0,0.0,0.0,0.0,0.0
6/23/2023,101.62,102.45,99.75,101.33,841044,0.0,0.0,0.0,0.0,0.0
6/26/2023,104.0,108.93,104.0,108.56,3181164,0.0,0.0,0.0,0.0,0.0
6/27/2023,108.57,111.85,107.75,111.01,4719530,0.0,0.0,0.0,0.0,0.0
7/3/2023,119.34,119.34,119.34,119.34,1519143,0.0,0.0,0.0,0.0,0.0
7/4/2023,122.0,122.0,117.5,118.95,6679910,0.0,0.0,0.0,0.0,0.0
7/5/2023,118.5,123.44,118.5,120.5,6666234,0.0,0.0,0.0,0.0,0.0
7/6/2023,123.0,124.88,122.0,123.35,5666209,0.0,0.0,0.0,0.0,0.0
7/7/2023,123.3,124.35,121.99,122.29,1772243,0.0,0.0,0.0,0.0,0.0
7/10/2023,122.9,125.7,122.06,124.24,5777349,0.0,0.0,0.0,0.0,0.0
7/11/2023,124.75,126.0,123.75,124.43,2961875,0.0,0.0,0.0,0.0,0.0
7/12/2023,125.5,125.78,123.0,124.22,2410754,0.0,0.0,0.0,0.0,0.0
7/13/2023,125.29,126.1,123.26,123.63,2938904,0.0,0.0,0.0,0.0,0.0
7/14/2023,123.99,124.0,121.3,121.64,1154745,0.0,0.0,0.0,0.0,0.0
7/17/2023,122.0,122.6,120.0,120.54,1542745,0.0,0.0,0.0,0.0,0.0
7/18/2023,121.0,121.0,116.8,117.29,1430652,0.0,0.0,0.0,0.0,0.0
7/19/2023,117.3,119.5,116.25,118.22,2255982,0.0,0.0,0.0,0.0,0.0
7/20/2023,119.49,120.9,118.4,120.29,2276223,0.0,0.0,0.0,0.0,0.0
7/21/2023,120.9,121.41,119.0,119.68,1516207,0.0,0.0,0.0,0.0,0.0
7/24/2023,119.89,120.97,119.1,119.99,1061366,0.0,0.0,0.0,0.0,0.0
7/25/2023,120.27,122.1,119.8,121.38,2307977,0.0,0.0,0.0,0.0,0.0
7/26/2023,121.7,125.3,121.7,124.56,4033582,0.0,0.0,0.0,0.0,0.0
7/27/2023,125.99,133.5,124.5,131.0,11214090,0.0,0.0,0.0,0.0,0.0
7/31/2023,135.99,139.38,135.12,137.47,5836326,0.0,0.0,0.0,0.0,0.0
8/1/2023,138.25,138.95,132.5,134.9,4265786,0.0,0.0,0.0,0.0,0.0
8/2/2023,134.9,136.8,133.2,135.45,3063830,0.0,0.0,0.0,0.0,0.0
8/3/2023,135.5,136.0,131.51,132.21,2600290,0.0,0.0,0.0,0.0,0.0
8/4/2023,130.5,134.5,130.11,133.68,2799533,0.0,0.0,0.0,0.0,0.0
8/7/2023,135.0,136.0,128.52,130.09,2219136,0.0,0.0,0.0,0.0,0.0
8/8/2023,129.1,129.5,120.33,120.76,2909062,0.0,0.0,0.0,0.0,0.0
8/9/2023,119.0,127.87,118.99,125.76,3893284,0.0,0.0,0.0,0.0,0.0
